Section,Part,Type,Arabic,English
Unit 1,Nouns (أسماء),vocab,شَرَاب ج أَشْرِبَة,drink
Unit 1,Nouns (أسماء),vocab,أَرْض ج أَرْضُوْن (مث),earth
Unit 1,Nouns (أسماء),vocab,شَمْس ج شُمُوْس (مث),sun
Unit 1,Nouns (أسماء),vocab,أُم ج أُمَّهَات,mother
Unit 1,Nouns (أسماء),vocab,شَيْء ج أَشْیَاء,thing
Unit 1,Nouns (أسماء),vocab,إِمَام ج أَئِمَّة,"imam, leader"
Unit 1,Nouns (أسماء),vocab,صَابِر ج وْن,patient
Unit 1,Nouns (أسماء),vocab,اِمْرَأة ج نِسَاء ، نِسْوَة,woman
Unit 1,Nouns (أسماء),vocab,صَادِق ج وْن,truthful
Unit 1,Nouns (أسماء),vocab,بِنْت ج بَنَات,daughter
Unit 1,Nouns (أسماء),vocab,صَالِح ج وْن,pious
Unit 1,Nouns (أسماء),vocab,جَالِس ج وْن,sitting
Unit 1,Nouns (أسماء),vocab,ضَیْف ج ضُیُوْف,guest
Unit 1,Nouns (أسماء),vocab,جَبَل ج جِبَال,mountain
Unit 1,Nouns (أسماء),vocab,طَالِب ج طَُّلَّب,student
Unit 1,Nouns (أسماء),vocab,جَد ج أَجْدَاد,grandfather
Unit 1,Nouns (أسماء),vocab,طَالِبَة ج طَالِبَات,student
Unit 1,Nouns (أسماء),vocab,جَدَّة ج جَدَّات,grandmother
Unit 1,Nouns (أسماء),vocab,طَعَام ج أَطْعِمَة,food
Unit 1,Nouns (أسماء),vocab,جَنَّة ج جَنَّات,"garden, heaven"
Unit 1,Nouns (أسماء),vocab,طِفْل ج أَطْفَال,child
Unit 1,Nouns (أسماء),vocab,خَالَة ج خَاْلَت,aunt (mother’s sister)
Unit 1,Nouns (أسماء),vocab,طِفْلَة ج أَطْفَال,child
Unit 1,Nouns (أسماء),vocab,دُنْیَا (مث),world
Unit 1,Nouns (أسماء),vocab,عَالِم ج عُلَمَاء,scholar
Unit 1,Nouns (أسماء),vocab,رَب جَأَرْبَاب,"lord, nourisher"
Unit 1,Nouns (أسماء),vocab,عَبْد ج عِبَاد,servant
Unit 1,Nouns (أسماء),vocab,رِجْل ج أَرْجُل )(مُث,foot
Unit 1,Nouns (أسماء),vocab,عَم ج أَعْمَام,uncle (father’s brother)
Unit 1,Nouns (أسماء),vocab,رَجُل ج رِجَال,man
Unit 1,Nouns (أسماء),vocab,عَیْن ج أَعْیُن ، عُیُوْن (مث),"eye, spring"
Unit 1,Nouns (أسماء),vocab,رَسُوْل ج رُسُل,messenger
Unit 1,Nouns (أسماء),vocab,فَاسِق ج وْن,transgressor
Unit 1,Nouns (أسماء),vocab,رِيْح ج رِيَاح (مث),wind
Unit 1,Nouns (أسماء),vocab,فَقِیْر ج فُقَرَاء,destitute
Unit 1,Nouns (أسماء),vocab,سَمَاء ج سَمَاوَات (مث),sky
Unit 1,Nouns (أسماء),vocab,مُعَلِّمَة ج مُعَلِّمَات,teacher
Unit 1,Nouns (أسماء),vocab,قَلَم ج أَقَّْلَم,pen
Unit 1,Nouns (أسماء),vocab,مَكْتَب ج مَكَاتِب,desk
Unit 1,Nouns (أسماء),vocab,قَمَر ج أَقْمَار,moon
Unit 1,Nouns (أسماء),vocab,مَلِك ج مُلُوْك,king
Unit 1,Nouns (أسماء),vocab,قَوْم ج أَقْوَام,nation
Unit 1,Nouns (أسماء),vocab,مُؤْمِن ج وْن,believer
Unit 1,Nouns (أسماء),vocab,كِتَاب ج كُتُب,book
Unit 1,Nouns (أسماء),vocab,نَار ج نِیْرَان (مث),fire
Unit 1,Nouns (أسماء),vocab,كُرْسِي ج كَرَاسِي,chair
Unit 1,Nouns (أسماء),vocab,نَاس ج أُنَاس,people
Unit 1,Nouns (أسماء),vocab,لَیْلَة ، لَیْل ج لَیَال,night
Unit 1,Nouns (أسماء),vocab,نَبِي جَأَنْبِیَاءُ ، نَبِیُّوْن,prophet
Unit 1,Nouns (أسماء),vocab,مَاء ج مِیَاه,water
Unit 1,Nouns (أسماء),vocab,نَجْم ج نُجُوْم,star
Unit 1,Nouns (أسماء),vocab,مُجْتَهِد ج وْن,hardworking
Unit 1,Nouns (أسماء),vocab,نَفْس ج نُفُوْس ، أَنْفُس (مث),soul
Unit 1,Nouns (أسماء),vocab,مُخْلِص ج وْن,sincere
Unit 1,Nouns (أسماء),vocab,وَلَد ج أَوْْلَد,"child, son"
Unit 1,Nouns (أسماء),vocab,مَدْرَسَة ج مَدَارِس,"school, place of study"
Unit 1,Verbs (أفعال),vocab,يَد ج أَيْد ، أَيَاد (مث),hand
Unit 1,Verbs (أفعال),vocab,مُسْلِم ج وْن,Muslim
Unit 1,Verbs (أفعال),vocab,بَعَثَيَبْعَثُبَعْثًا,"to send, resurrect"
Unit 1,Verbs (أفعال),vocab,اجْتَهَدَيَجْتَهِدُاجْتِهَادًا,to work hard
Unit 1,Verbs (أفعال),vocab,اِسْتَیْقَظُيَسْتَیْقِظاسْتِیْقَاظًا,to wake up
Unit 1,Verbs (أفعال),vocab,جَاعَيَجُوْعُجَوْعًا,to be hungry
Unit 1,Verbs (أفعال),vocab,أَسْرَعَيُسْرِعُإِسْرَاعًا,to hasten
Unit 1,Verbs (أفعال),vocab,جَعَلَيَجْعَلُجَعَّْل,to make
Unit 1,Verbs (أفعال),vocab,أَعْطَیيُعْطِيْإِعْطَاء,to give
Unit 1,Verbs (أفعال),vocab,جَلَسَيَجْلِسُجُلُوْسًا,to sit
Unit 1,Verbs (أفعال),vocab,أَكَلَيَأْكُلُأَكَّْل,to eat
Unit 1,Verbs (أفعال),vocab,جَهِلَيَجْهَلُجَهَّْل,"to be unaware of, ignorant, not know"
Unit 1,Verbs (أفعال),vocab,آمَنَيُؤْمِنُإِيْمَانًا,to believe
Unit 1,Verbs (أفعال),vocab,حَزِنَيَحْزَنُحُزْنًا,"to be sad, grieve"
Unit 1,Verbs (أفعال),vocab,حَضَرُيَحْضُرحُضُوْرًا,to attend
Unit 1,Verbs (أفعال),vocab,أَنْزَلًيُنْزِلُإِنْزَاْل,to send down
Unit 1,Nouns (أسماء),vocab,عَرَفَيَعْرِفُمَعْرِفَة,to recognise
Unit 1,Nouns (أسماء),vocab,خَلَقَيَخْلُقُخَلْقًا,to create
Unit 1,Nouns (أسماء),vocab,عَطِشَيَعْطَشُعَطَشًا,to be thirsty
Unit 1,Nouns (أسماء),vocab,ذَهَبَيَذْهَبُذَهَابًا,to go
Unit 1,Nouns (أسماء),vocab,عَلَّمَيُعَلِّمُتَعْلِیْمًا,to teach
Unit 1,Nouns (أسماء),vocab,رَأَیيَرًیرُؤْيَة,to see
Unit 1,Nouns (أسماء),vocab,غَابُيَغِیْبغَیْبًا ، ًغَیْبُوبَة,"to be absent, hidden, unseen, vanish,"
Unit 1,Nouns (أسماء),vocab,غَضِبيَغْضَبُغَضَبًا,to be angry
Unit 1,Nouns (أسماء),vocab,سَافَرَيُسَافِرُمُسَافَرَة,to travel
Unit 1,Nouns (أسماء),vocab,غَفَرَيَغْفِرُمَغْفِرَة,to forgive
Unit 1,Nouns (أسماء),vocab,سَأَلَيَسْأَلُسُؤَاْل,to ask
Unit 1,Nouns (أسماء),vocab,قَامَيَقُوْمُقِیَامًا,to stand
Unit 1,Nouns (أسماء),vocab,سَقَطَيَسْقُطُسُقُوْطًا,to fall
Unit 1,Nouns (أسماء),vocab,قَرَأَيَقْرُأًقِرَاءَة,to read
Unit 1,Nouns (أسماء),vocab,سَمِعَيَسْمَعُسَمْعًا,"to hear, listen"
Unit 1,Nouns (أسماء),vocab,كَثُرَيَكْثُرُكَثْرَة,to be abundant
Unit 1,Nouns (أسماء),vocab,، شَبِعَيَشْبَعُشِـبْعًاشَبْعًا,to be sated
Unit 1,Nouns (أسماء),vocab,كَذَبَيَكْذِبُكِذْبًاكَذِبًا,"to lie, be dishonest"
Unit 1,Nouns (أسماء),vocab,شَرِبَيَشْرَبُشُرْبًا,to drink
Unit 1,Nouns (أسماء),vocab,ungrateful كَفَرَيَكْفُرُكُفْرًا,"to disbelieve, be"
Unit 1,Nouns (أسماء),vocab,صَامَيَصُوْمَصوْمًا ، صِیَامًا,to fast
Unit 1,Nouns (أسماء),vocab,مَرِضَيَمْرَضُمَرَضًا,to be sick
Unit 1,Nouns (أسماء),vocab,نَامَيَنَامُنَوْمًا,to sleep
Unit 1,Nouns (أسماء),vocab,صَدَقَيَصْدُقُصِدْقًا,to tell the truth
Unit 1,Nouns (أسماء),vocab,نَصَرَيَنْصُرُنَصْرًا,to help
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,فَاعِل,subject
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,مُبْتَدَأ,subject
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,نَائِبُ الْفَاعِل,substitute subject
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,خَبَر,information
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,مَفْعُوْل بِه,object
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,تَرْكِیْب,grammatical analysis of a sentence
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,مَفْعُوْل بِهِثَان,indirect object
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,فِعْل نَاقِص,auxiliary verb
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,مْفُعْو لِفِیْه,adverb of time/place
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,كَان,was
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,مَفْعُوْل مُطْلَق,adverb of degree
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,يَكُوْن,will be
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,مَفْعُوْل لَه,adverb of reason
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,لَیْس,is not
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,حَال,state
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,مَاَكَان,was not
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,تَمْیِیْز,clarification
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,لَيَكُوْن,will not be
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,with َكَان or َّإِنَاِسْمُكَان / َّإِن,the subject of a sentence
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,حَرْفُتَحْقِیْق,a particle of emphasis
Unit 2,Nominal Sentence (الجملة الاسمية),grammar,sentence with َكَان or َّإِنَخَبَرُكَان / َّإِن,the information of a
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,نُوْنُالتَّأْكِیْد,a particle of emphasis
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,مَاالنَّافِیَة,not
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,حَرْف حَصْر,a particle of restriction
Unit 2,Verbal Sentence (الجملة الفعلية),grammar,إِنْالنَّافِیَة,a negative particle
Unit 2,Nouns (أسماء),vocab,جُزْء ج أَجْزَاء,part
Unit 2,Nouns (أسماء),vocab,أَجْر ج أُجُوْر,"reward, wage"
Unit 2,Nouns (أسماء),vocab,حَاج ج حُجَّاج,Haji (one who has performed Hajj)
Unit 2,Nouns (أسماء),vocab,أَحْسَن,better
Unit 2,Nouns (أسماء),vocab,حَجَر ج أَحْجَار ، حِجَارَة,stone
Unit 2,Nouns (أسماء),vocab,آخِرَة,hereafter
Unit 2,Nouns (أسماء),vocab,حُجْرَة ج ات,room
Unit 2,Nouns (أسماء),vocab,أُسْبُوْع ج ُأَسَابِیْع,week
Unit 2,Nouns (أسماء),vocab,حَسَنَة ج ات,good deed
Unit 2,Nouns (أسماء),vocab,أَشَد,"severe, severest"
Unit 2,Nouns (أسماء),vocab,حَق,truth
Unit 2,Nouns (أسماء),vocab,أَقَل,"less, least"
Unit 2,Nouns (أسماء),vocab,حَقِیْبَة ج حَقَائِب,bag
Unit 2,Nouns (أسماء),vocab,أَكْثَر,"more, most"
Unit 2,Nouns (أسماء),vocab,حِكْمَة ج حِكَم,wisdom
Unit 2,Nouns (أسماء),vocab,( ِأَمْس مَبْنِي),yesterday
Unit 2,Nouns (أسماء),vocab,حِیْن ج أَحْیَان,time
Unit 2,Nouns (أسماء),vocab,آن,time
Unit 2,Nouns (أسماء),vocab,خَیْر ج خِیَار,"better, best, goodness"
Unit 2,Nouns (أسماء),vocab,اْلْن,"now, just now"
Unit 2,Nouns (أسماء),vocab,دَائِم,always
Unit 2,Nouns (أسماء),vocab,إِنَاء ج آنِیَة,container
Unit 2,Nouns (أسماء),vocab,دَرْس ج دُرُوْس,lesson
Unit 2,Nouns (أسماء),vocab,بَاب ج أَبْوَاب,door
Unit 2,Nouns (أسماء),vocab,دَقِیْقَة ج دَقَائِق,minute
Unit 2,Nouns (أسماء),vocab,الْبَارِحَة,last night
Unit 2,Nouns (أسماء),vocab,دِيْن ج أَدْيَان,"religion, retribution"
Unit 2,Nouns (أسماء),vocab,بَشَر,human being
Unit 2,Nouns (أسماء),vocab,ذَنْب ج ذُنُوْب,sins
Unit 2,Nouns (أسماء),vocab,بَشِیْر,bearer of glad tidings
Unit 2,Nouns (أسماء),vocab,رَطْل ج أَرْطَال,pound (weight)
Unit 2,Nouns (أسماء),vocab,بَصِیْرَة ج بَصَائِر,"enlightenment, insight"
Unit 2,Nouns (أسماء),vocab,سَاعَة ج ات,"time, while, hour, Day of Judgement"
Unit 2,Nouns (أسماء),vocab,( ُبَعْد مَبْنِي ),"yet, until now"
Unit 2,Nouns (أسماء),vocab,سُمْعَة,show
Unit 2,Nouns (أسماء),vocab,بَیِّنَة ج بَیِّنَات,"clear, clear proof"
Unit 2,Nouns (أسماء),vocab,سَیِّئَة ج ات,evil deed
Unit 2,Nouns (أسماء),vocab,تَاجِر ج تُجَّار,businessman
Unit 2,Nouns (أسماء),vocab,شَر ج شِرَار,"worse, worst, evil"
Unit 2,Nouns (أسماء),vocab,تُفَّاحَة ج تُفَّاحَات,apple
Unit 2,Nouns (أسماء),vocab,مُبَارَك,blessed
Unit 2,Nouns (أسماء),vocab,شَهْر ج شُهُوْر ، أَشْهُر,month
Unit 2,Nouns (أسماء),vocab,مُتَّق ج وْن,God-fearing
Unit 2,Nouns (أسماء),vocab,شَيْء ج أَشْیَاء,thing
Unit 2,Nouns (أسماء),vocab,مَسَاء,evening
Unit 2,Nouns (أسماء),vocab,شَیْطَان ج شَیَاطِیْن,devil
Unit 2,Nouns (أسماء),vocab,مَسْرُوْر ج وْن,happy
Unit 2,Nouns (أسماء),vocab,صَبَاح,morning
Unit 2,Nouns (أسماء),vocab,مَلَك ج مََّلَئِكَة,angel
Unit 2,Nouns (أسماء),vocab,صِرَاط ج صُرُط,path
Unit 2,Nouns (أسماء),vocab,مُهَاجِر ج َوْن,migrant
Unit 2,Nouns (أسماء),vocab,عَالَم ج وْن,world
Unit 2,Nouns (أسماء),vocab,مَوْعِظَة ج مَوَاعِظ,admonition
Unit 2,Nouns (أسماء),vocab,عَسَل,honey
Unit 2,Nouns (أسماء),vocab,مِیْزَان ج مَوَازِيْن,scale
Unit 2,Nouns (أسماء),vocab,عِلْم ج عُلُوْم,knowledge
Unit 2,Nouns (أسماء),vocab,نَاصِر ج أَنْصَار,helper
Unit 2,Nouns (أسماء),vocab,غَد,tomorrow
Unit 2,Nouns (أسماء),vocab,نَافِذَة ج نَوَافِذ,window
Unit 2,Nouns (أسماء),vocab,غُرْفَة ج غُرَف ، ات,room
Unit 2,Nouns (أسماء),vocab,نَهَار,day/daytime
Unit 2,Nouns (أسماء),vocab,غَنِي ج أَغْنِیَاء,rich
Unit 2,Nouns (أسماء),vocab,وَاحِد,one
Unit 2,Nouns (أسماء),vocab,( ُّقَط مَبْنِي),ever
Unit 2,Nouns (أسماء),vocab,يَوْم ج أَيَّام,day
Unit 2,Nouns (أسماء),vocab,لَبَن ج أَلْبَان,milk
Unit 2,Nouns (أسماء),vocab,لِتْر ج لِتْرَات,litre
Unit 2,Verbs (أفعال),vocab,تَّلَيَتْلُوْتَِّلَوَة,to recite
Unit 2,Verbs (أفعال),vocab,أَتَیيَأْتِيْإِتْیَانًا,to come
Unit 2,Verbs (أفعال),vocab,صْب ر) ُجَزِعَيَجْزَعجَزَعًا,to be impatient (opposite of
Unit 2,Verbs (أفعال),vocab,آتَیيُؤْتِيْإِيْتَاء,to give
Unit 2,Verbs (أفعال),vocab,أَحَبَّيُحِبُّإِحْبَابًا ، حُبًّا,to love
Unit 2,Verbs (أفعال),vocab,احْتَرَمَيَحْتَرِمُاحْتِرَامًا,"to respect, honour"
Unit 2,Verbs (أفعال),vocab,اِحْتَسَبَيَحْتَسِبُاِحْتِسَابًا,to hope for reward
Unit 2,Verbs (أفعال),vocab,خَافَيَخَافُخَوْفًا,to fear
Unit 2,Verbs (أفعال),vocab,خَرَجَيَخْرُجُخُرُوْجًا,"to come out, leave"
Unit 2,Verbs (أفعال),vocab,أَرْسَلَيُرْسِلُإِرْسَاْل,to send
Unit 2,Verbs (أفعال),vocab,أَرَیيُرِيًإِرَاءَة,to show
Unit 2,Verbs (أفعال),vocab,خَطَبَيَخْطُبُخُطْبَة,to give a lecture
Unit 2,Verbs (أفعال),vocab,دَخَلَيَدْخُلُدُخُوْْل,to enter
Unit 2,Verbs (أفعال),vocab,اِسْتَغْفَريَسْتَغْفِرُاِسْتِغْفَارًا,to seek forgiveness
Unit 2,Verbs (أفعال),vocab,دَعَايَدْعُوْدَعْوَةًدُعَاء,"to call, supplicate"
Unit 2,Verbs (أفعال),vocab,اِشْتَرَیيَشْتَرِياِشْتِرَاء,to buy
Unit 2,Verbs (أفعال),vocab,رَاءىَيُرِائَيرِيًاء َرِئَاءًمُرَاءًاة,to show off
Unit 2,Verbs (أفعال),vocab,أَضَلَّيُضِلُّإِضَّْلَْل,to misguide
Unit 2,Verbs (أفعال),vocab,رَتَّلَيُرَتِّلُتَرْتِیَّْل,to recite clearly
Unit 2,Verbs (أفعال),vocab,أَطَاعَيُطِیْعًإِطَاعَةً ، طَاعَة,to obey
Unit 2,Verbs (أفعال),vocab,رَجَاًيَرْجُوْرَجَاء,to hope
Unit 2,Verbs (أفعال),vocab,أَطْعَمَيُطْعِمُإِطْعَامًا,to feed
Unit 2,Verbs (أفعال),vocab,رَجَعَيَرْجِعُرُجُوْعًا,to return
Unit 2,Verbs (أفعال),vocab,رَضِيَيَرْضٰیرِضْوَانًا,"to be happy with, approve of"
Unit 2,Verbs (أفعال),vocab,رَغِبيَرْغَبُرَغْبَةً ، رَغَبًا,"to hope, desire"
Unit 2,Verbs (أفعال),vocab,أَنْفَقَيُنْفِقُإِنْفَاقًا,to spend
Unit 2,Verbs (أفعال),vocab,اِهْتَدَیيَهْتَدِيْاِهْتِدَاء,"to be guided, find the right way"
Unit 2,Verbs (أفعال),vocab,، ًرَهِبَيَرْهَبُرَهْبَةرَهَبًا,to fear
Unit 2,Verbs (أفعال),vocab,زَادَيَزِيْدُزِيَادَة,to increase
Unit 2,Verbs (أفعال),vocab,بَكَیيَبْكِيْبُكَاء,to cry
Unit 2,Nouns (أسماء),vocab,قَالَيَقُوْلُقَوْْل,to say
Unit 2,Nouns (أسماء),vocab,سَقَیيَسْقِيْسَقْیًا,to give to drink
Unit 2,Nouns (أسماء),vocab,قَتَلَيَقْتُلُقَتَّْل,to kill murder
Unit 2,Nouns (أسماء),vocab,سَكَتَيَسْكُتُسُكُوْتًا,to be quiet
Unit 2,Nouns (أسماء),vocab,شَفَیيَشْفِيْشِفَاء,to cure
Unit 2,Nouns (أسماء),vocab,كَتَبَيَكْتُبُكِتَابَة,"to write, prescribe"
Unit 2,Nouns (أسماء),vocab,صَلَّیًيُصَلِّيْصََّلَة,to perform salah
Unit 2,Nouns (أسماء),vocab,كَذَّبَيُكَذِّبُتَكْذِيْبًا,to reject
Unit 2,Nouns (أسماء),vocab,do صَنَعَيَصْنَعُصَنْعًا,"to make, manufacture,"
Unit 2,Nouns (أسماء),vocab,كَسَايَكْسُوْكَسْوًا,to clothe
Unit 2,Nouns (أسماء),vocab,ضَحِكَيَضْحَكضِحْكًا,to laugh
Unit 2,Nouns (أسماء),vocab,كَسَبَيَكْسِبكَسْبًا,to earn
Unit 2,Nouns (أسماء),vocab,ضَرَبَيَضْرِبُضَرْبًا,to hit
Unit 2,Nouns (أسماء),vocab,مَشَیيَمْشِيْمَشْیًا,to walk
Unit 2,Nouns (أسماء),vocab,ضَلَّيَضِلُّضََّلَْل,to be mislead
Unit 2,Nouns (أسماء),vocab,مَلََيَمْلَُمَل,to fill
Unit 2,Nouns (أسماء),vocab,نَسِيَيَنْسَینِسْیَانًا,to forget
Unit 2,Nouns (أسماء),vocab,عَدَلَيَعْدِلُعَدْْل,to be just
Unit 2,Nouns (أسماء),vocab,هَدَیيَهْدِيْهِدَايَةً ، هُدًی,to guide
Unit 2,Nouns (أسماء),vocab,عَصَیيَعْصِيْمَعْصِیَة,to disobey
Unit 2,Nouns (أسماء),vocab,وَضَعَيَضَعُوَضْعًا,to put
Unit 2,Nouns (أسماء),vocab,عَلِمَيَعْلَمُعِلْمًا,to know
Unit 2,Nouns (أسماء),vocab,عَمِلَيَعْمَلُعَمََّل,"to do, work"
Unit 2,Nouns (أسماء),vocab,وَهَبَيَهَبُهِبَة,"to give, grant"
Unit 3 Section 1,Phrases,grammar,مِثْل,"like, similar"
Unit 3 Section 1,Part 1: Descriptive Phrases,grammar,نَعْت,the adjective
Unit 3 Section 1,Phrases,grammar,أَمْثَال,"like, similar"
Unit 3 Section 1,Part 1: Descriptive Phrases,grammar,جَمْعُغَیْرِالْعُقَّلَء,plural of non-humans
Unit 3 Section 1,Phrases,grammar,غَیْر,"un-, other than"
Unit 3 Section 1,Part 2: Demonstrative Phrases,grammar,اِسْمِاإلِْشَارَة,demonstrative pronoun
Unit 3 Section 1,Phrases,grammar,یسِو,"un-, other than"
Unit 3 Section 1,Part 2: Demonstrative Phrases,grammar,مُشَار إِلَیْه,what is being pointed at
Unit 3 Section 1,Part 5: Possessive Phrases,grammar,ذُو,possessor of
Unit 3 Section 1,Part 3: Conjunction Phrases,grammar,حَرْفُ عَطْف,conjunction
Unit 3 Section 1,Part 6: Number Phrases,grammar,عَدَد,number
Unit 3 Section 1,Phrases,grammar,مَعْدُوْد,the item being quantified
Unit 3 Section 1,Phrases,grammar,بِضْع,"few, -odd"
Unit 3 Section 1,Phrases,grammar,نَیِّف,"few, -odd"
Unit 3 Section 1,Phrases,grammar,يَاء which is preceded اسْم مَنْقُوْص,a word which ends in a
Unit 3 Section 1,Part 3: Conjunction Phrases,grammar,مُبْدَل مِنْه,the second word of an appositive
Unit 3 Section 1,Part 4: Appositive Phrases,grammar,بَدَل,the first word of an appositive phrase
Unit 3 Section 1,Part 5: Possessive Phrases,grammar,مُضَاف,the possessed
Unit 3 Section 1,Part 5: Possessive Phrases,grammar,مُضَافِإِلَیْه,the possessor
Unit 3 Section 1,Nouns (أسماء),vocab,يَوْمُالجُمُعَة,Friday
Unit 3 Section 1,Nouns (أسماء),vocab,يَوْمُاإلِْثْنَیْن,Monday
Unit 3 Section 1,Nouns (أسماء),vocab,يَوْمُالسَّبْت,Saturday
Unit 3 Section 1,Nouns (أسماء),vocab,يَوْمُالثَُّّلَثَاء,Tuesday
Unit 3 Section 1,Nouns (أسماء),vocab,يَوْمُاْلَرْبِعَاء,Wednesday
Unit 3 Section 1,Nouns (أسماء),vocab,شْعَبُان,Shaban
Unit 3 Section 1,Nouns (أسماء),vocab,صَف ر,Safar
Unit 3 Section 1,Nouns (أسماء),vocab,رَمَضُان,Ramadhan
Unit 3 Section 1,Nouns (أسماء),vocab,رِبْی عَاْلّوُل,Rabi al-Awal
Unit 3 Section 1,Nouns (أسماء),vocab,شَّو ال,Shawwal
Unit 3 Section 1,Nouns (أسماء),vocab,رِبْی عَّالثِانْي,Rabi at-Thani
Unit 3 Section 1,Nouns (أسماء),vocab,ذْوالِقْعَدِة,Zul Qadah
Unit 3 Section 1,Nouns (أسماء),vocab,جَمَادُْىاْلْوَلى,Jumada al-Awal
Unit 3 Section 1,Nouns (أسماء),vocab,ذْوالِح ج ِة,Zul Hijjah
Unit 3 Section 1,Nouns (أسماء),vocab,جَمَادْىاْلِخَرِة,Jumada at-Thani
Unit 3 Section 1,Nouns (أسماء),vocab,لْ,not
Unit 3 Section 1,Nouns (أسماء),vocab,ف,then
Unit 3 Section 1,Nouns (أسماء),vocab,وَْل,neither nor
Unit 3 Section 1,Nouns (أسماء),vocab,ثُم,then
Unit 3 Section 1,Nouns (أسماء),vocab,بَل,"rather, but"
Unit 3 Section 1,Nouns (أسماء),vocab,أَو,either or
Unit 3 Section 1,Nouns (أسماء),vocab,لٰكِن,"rather, but"
Unit 3 Section 1,Nouns (أسماء),vocab,إِمَّا ... وَإِمَّا,either or
Unit 3 Section 1,Nouns (أسماء),vocab,ثَمَانِيَعَشْرَةَ/ ثَمَانِیَةَعَشَر,eighteen
Unit 3 Section 1,Nouns (أسماء),vocab,اِثْنَانِ / اِثْنَتَان,two
Unit 3 Section 1,Nouns (أسماء),vocab,تِسْعَعَشْرَةَ/ تِسْعَةَعَشَر,nineteen
Unit 3 Section 1,Nouns (أسماء),vocab,ثَّلَث / ثَّلَثَة,three
